id,session_id,card_id,user_id,rating,response_ms,reviewed_at,scheduled_interval,ease,was_new
42a86d74-17b5-4a6c-9dd7-5fdc3d6f4d57,22a36f26-52b2-4681-ab9b-9cd7607701c1,74a733f1-7445-4caf-9a97-1cbec4dc73ff,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,10582,2026-07-13 06:48:34.129+00,1,3.28285649513529,true
452ecee8-06e2-4dc7-ab02-2e7f0c64369e,911cb2d7-0602-4d89-bfb1-28e3bd4c8cc5,e6f7dc0c-60c6-4058-a6a2-3f6c161e2d6c,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,7370,2026-07-09 15:02:18.981+00,1,3.28285649513529,true
4671ac6c-2ecb-48fe-afc2-7985f60024e2,501d7c32-5d8a-4b7a-824f-73cca1f7941a,8393a69c-4c0e-4bad-8d0d-4fabbcc93a95,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-18 10:55:04.953+00,1,3.28285649513529,true
4715de07-3878-4932-b582-4e6e752dc247,d498455c-6ce2-41c6-bdf9-3fbf549cd89c,8967275d-0ba3-421d-abd5-e5dd6d1d896a,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-18 13:26:39.023+00,1,3.28285649513529,true
47916711-e2ae-43e8-ae64-897baa319540,fd1df28f-cdf3-4328-893e-0c54bfdbedad,865200e7-0aa7-4957-9012-199dfe1b4f09,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,1,0,2026-06-17 10:30:32.395+00,2,5.41305649513529,false
486c4406-2233-43ec-994e-6bfa0edfdf3f,a8bed7c9-8b5e-49be-b1f3-bf2996e00f99,8967275d-0ba3-421d-abd5-e5dd6d1d896a,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-18 10:54:54.967+00,1,3.28285649513529,true
49155370-91e0-485d-898d-06cdbc9dc34f,9f7449f6-ed91-4f64-9b07-0b78f1a95c42,b3b94c39-0e38-4959-8f0a-f36b4ff253ce,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-18 11:10:15.061+00,13,2.21775649513529,false
49a0f4fd-49bd-49e4-aff9-87baff82579e,9a6d8d6f-0a88-47e4-b787-bea954fba462,394e25fc-9591-4523-b318-b87126bc416c,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-16 14:06:23.361+00,1,3.28285649513529,false
4a034b7d-e5c2-447d-af0b-b5325f9d9597,db6d0c05-2caf-49e9-ad00-fae165abad6d,d1c17d98-1dd3-4b88-86a6-5305dd294af3,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,5372,2026-07-10 16:01:39.997+00,1,3.28285649513529,true
4abb488a-920d-4fff-a200-c0eefcbd9b19,118864e1-c413-4813-a185-d3565c00e570,6a78d238-fe8a-4eaf-89c8-6452066a5216,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,7976,2026-07-13 06:51:43.73+00,19,3.86402671652124,false
4c62eab1-581b-48be-852b-cf33d8f54961,75ef9d15-6376-43b4-aca3-a57e5bc806ae,16e6fe29-3c12-41db-aa65-0822f4f41e5a,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,2116,2026-07-13 05:09:32.093+00,19,3.86402671652124,false
4ccdccdb-1f26-4ab1-a176-57b5645177a3,229bbcd0-491c-4d47-8f87-a01ab761e12c,97a561c4-b0ec-4f86-8d65-6075883cfe69,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-16 14:13:10.598+00,1,3.28285649513529,false
4d4c6a7f-2535-4622-80a0-eed302e6c7c3,775d51c4-9990-4641-bab6-57b38500a859,bb2997f4-057c-48ba-9ada-f84b70eda55d,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-16 14:07:07.777+00,1,3.28285649513529,false
4d8c8b89-3e75-43fe-9efe-7e81542706a6,0236b013-b7eb-45ce-b8b7-eeadd09e76d5,53d6ea76-b207-4b88-93ef-ac8373f9dbd8,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,4,0,2026-06-15 08:34:30.895+00,10,5.1,false
